country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Burundi,EasternAfrica,27830,10864,423.1,96.9,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,84.6/82.7,109,122,123,625,-502,-375,3.0,12.1,5.7,6.0,58.0/54.2,45.0/4.4,286.8/2.6,103.2,77.8,7.5,...,5.4,124.5/123.1,40.5/44.5,2.4/7.7,36.4,46.2,4.9,61,10.6,0.4/~0.0,56,6,91.1/73.8,43.8/48.6,11.91,-99
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,7.0,1158.7,28.2,29.4,42.3,42.4,19.6,38.0,0.3,75.6/87.0,175,177,13204,15313,-2109,-1657,1.6,20.7,2.6,2.7,69.6/65.5,31.3/7.1,74.0/0.5,0.3,29.9,5.7,0.2,1.9,116.2/117.1,.../...,11.8/14.3,20.3,133.0,19.0,255,54.3,6.7/0.4,178,17,100.0/69.1,88.1/30.5,3.97,-99
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,71.1/81.2,155,160,2130,4899,-2768,-1173,2.7,54.4,3.6,5.0,57.7/55.1,42.7/4.8,382.0/1.6,544.9,67.5,4.1,...,3.0,110.7/123.5,53.5/62.6,15.2/19.7,31.1,71.8,20.7,775,40.3,7.0/0.3,408,14,94.8/52.7,61.8/26.8,2.31,-99
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,50.7/74.7,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,1.8,81.3/76.2,20.3/16.0,469.4/2.6,3.7,7.4,7.8,...,4.9,100.0/103.3,101.3/100.0,94.4/83.0,15.8,129.5,64.3,197,23.4,82.6/4.7,540,85,99.7/93.3,100.0/90.9,0.02,-99
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,63.0/77.7,132,133,2118981,1588696,530285,330602,0.5,55.6,3.0,1.6,77.2/74.2,17.7/16.2,978.0/0.1,301.7,11.6,5.5,1.5,-99,104.3/104.0,95.6/93.2,47.3/39.9,23.7,93.2,50.3,1080,22.0,10291.9/7.5,101394,87,97.5/93.0,86.6/63.7,0.00,-99
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,58.0/79.8,114,115,31045,44831,-13786,-18922,1.0,76.4,1.7,1.9,77.4/70.2,23.5/11.6,133.1/0.3,7127.0,17.9,7.2,...,4.5,111.6/115.4,101.5/94.8,59.9/51.5,18.7,115.7,55.9,835,52.8,84.1/1.8,5380,31,96.8/73.8,85.2/67.9,0.47,-99
Congo,MiddleAfrica,342000,5261,15.4,100.1,8493,1.2,1838.1,4.7,70.0,25.3,40.7,25.8,33.5,11.5,67.1/72.6,106,106,2540,9793,-7253,...,2.6,65.4,3.2,4.9,64.1/61.0,42.3/5.2,393.0/8.5,54.9,46.5,5.2,...,...,114.8/107.0,50.6/58.4,8.3/11.1,7.4,111.7,7.6,134,65.4,3.1/0.7,648,24,95.8/40.0,20.0/5.6,1.05,-99
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,3.7,11015.0,5.1,21.5,73.4,11.6,19.1,69.3,8.6,46.9/76.5,127,129,9908,15322,-5414,-2493,1.1,76.8,2.7,1.9,81.7/76.7,21.6/13.6,421.7/8.8,10.1,9.3,9.3,1.2,7.2,109.5/110.1,125.6/120.7,60.9/46.6,35.1,150.7,59.8,340,53.4,7.8/1.6,110,44,99.6/91.9,95.2/92.3,0.22,-99
Cote D'Ivoire,WesternAfrica,322463,24295,76.4,102.7,32076,9.5,1412.9,23.7,28.3,48.1,56.0,5.7,38.4,9.3,52.6/80.9,122,123,10661,8380,2281,-633,2.5,54.2,3.7,5.1,53.2/50.4,42.4/4.8,2175.4/9.6,1023.0,71.6,5.7,...,5.0,88.0/99.2,36.6/51.0,7.3/11.0,11.5,119.3,21.0,249,32.7,11.0/0.5,540,26,93.1/68.8,32.8/10.3,2.22,-99
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,7.0,6373.6,6.6,28.0,65.4,13.1,16.9,70.0,14.4,52.3/78.6,136,138,3747,22725,-18978,-1335,1.2,79.0,2.6,2.5,76.4/70.2,29.3/10.2,415.6/3.9,1.3,25.1,4.4,1.5,...,98.7/108.1,81.7/74.1,65.0/35.4,26.8,82.6,51.9,184,40.4,21.5/2.1,28,28,85.4/81.9,86.2/75.7,0.43,-99
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,49.1/79.9,118,119,16798,16189,609,-2201,1.6,63.7,1.9,2.6,78.4/72.8,28.4/10.5,387.5/2.4,133.1,21.1,9.2,1.7,5.0,107.9/107.4,109.2/105.3,45.3/34.6,41.6,79.4,48.9,2358,50.8,43.9/2.8,1247,42,93.4/75.5,87.0/80.7,0.31,-99
Egypt,NorthernAfrica,1002000,97553,98.0,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,23.1/76.2,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,3.4,73.0/68.7,33.5/7.9,491.6/0.5,256.5,18.9,5.6,0.8,...,103.8/104.1,85.9/86.3,35.6/36.9,14.9,111.0,35.9,156,0.1,201.9/2.2,3509,36,100.0/99.0,96.8/93.1,0.78,-99
El Salvador,CentralAmerica,21041,6378,307.8,88.5,25850,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,49.5/79.5,111,117,5335,9855,-4519,-920,0.5,66.7,1.4,2.2,77.1/67.9,27.4/11.6,42.0/0.7,4.7,17.0,6.8,...,3.5,106.8/111.4,79.7/79.2,30.5/27.7,32.1,145.3,26.9,86,13.0,6.3/1.0,86,28,97.5/86.5,82.4/60.0,0.36,-99
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,2.8,3491.4,9.0,24.1,66.9,44.7,11.2,44.1,11.4,57.9/79.0,85,86,2114,7236,-5122,-1775,-1.4,53.6,-0.1,2.0,77.0/68.5,19.2/20.8,168.8/4.2,274.1,11.2,7.4,4.8,2.0,118.2/115.5,103.8/103.6,47.8/39.2,16.0,129.0,45.2,120,40.6,9.0/2.2,61,47,100.0/100.0,95.2/75.9,3.30,-99
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,1355.6,19.0,26.9,54.1,41.9,14.2,43.8,5.9,75.7/78.8,144,144,7221,11939,-4718,-2809,2.4,54.0,3.4,4.2,62.6/60.7,38.5/5.3,399.5/1.5,27.3,46.5,3.6,...,6.2,108.7/107.3,61.1/63.1,13.2/19.1,12.7,129.7,23.5,238,40.9,14.5/0.6,410,14,92.6/84.0,20.2/8.6,4.81,-99
Guam,Micronesia,549,164,304.1,102.6,-99,-99,-99,-99,-99,-99,0.2,14.0,85.7,10.7,55.2/68.7,88,88,-99,-99,-99,-99,0.3,94.5,1.4,2.4,81.5/76.4,24.7/14.0,76.1/44.8,-99,9.6,-99,-99,-99,-99,-99,-99,-99,...,73.1,99,46.3,-99,-99,-99,99.5/99.5,89.8/89.8,-99,-99
Guatemala,CentralAmerica,108889,16914,157.8,96.9,63794,4.1,3903.5,10.8,27.2,62.0,32.0,18.5,49.4,2.4,41.7/84.0,158,158,10572,16987,-6415,-96,2.1,51.6,3.4,3.2,75.6/69.2,35.1/6.9,76.4/0.5,1.8,26.9,6.2,...,3.0,99.8/103.8,63.3/67.9,23.5/20.2,12.7,111.5,27.1,290,33.4,18.3/1.1,327,32,98.4/86.8,77.5/49.3,0.66,-99
Haiti,Caribbean,27750,10981,398.4,97.8,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,62.0/71.7,163,166,984,3316,-2332,-723,1.4,58.6,3.8,3.1,64.4/60.2,33.0/7.3,39.5/0.4,1.9,46.9,7.6,-99,-99,-99,-99,-99,2.6,69.9,12.2,205,3.5,2.9/0.3,136,16,64.9/47.6,33.6/19.2,11.73,-99
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,2521.9,13.0,25.1,61.9,29.4,21.6,49.0,5.6,47.6/84.5,122,119,3657,8448,-4791,-1291,1.8,54.7,3.1,2.6,75.4/70.4,31.6/7.0,28.1/0.3,176.2,27.8,8.7,...,5.9,110.1/111.3,77.0/64.8,25.4/18.8,25.8,95.5,20.4,301,42.1,9.5/1.2,105,28,97.4/83.8,86.7/77.7,2.86,-99
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,27.0/79.1,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,2.4,69.1/66.2,27.8/9.4,5241.0/0.4,211.1,41.3,4.7,0.7,3.8,115.1/102.8,74.5/73.5,26.7/27.0,11.8,78.8,26.0,1052,23.7,2238.4/1.7,23103,27,97.1/92.6,62.6/28.5,0.16,-99
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,51.0/83.7,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,2.4,70.7/66.6,27.4/8.6,328.8/0.1,13.8,25.0,2.8,0.2,3.6,104.4/107.2,86.0/85.7,25.7/22.9,19.8,132.4,22.0,1281,50.6,464.2/1.8,19481,35,94.2/79.5,72.3/47.5,0.00,-99
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,-2.4,4509.0,4.6,58.0,37.4,20.4,21.0,58.6,16.1,15.3/69.9,123,123,27341,45831,-18490,4121,3.2,69.5,3.0,4.6,71.4/67.0,40.4/5.0,353.9/1.0,4736.2,32.1,5.5,0.9,-99,.../...,.../...,.../...,25.3,93.8,17.2,72,1.9,168.4/4.8,6744,58,93.8/70.1,86.4/83.8,0.88,-99
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1.0,17.9,81.0,5.9,58.5/69.0,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,3.0,83.7/80.0,27.9/16.1,2011.7/24.9,44.7,3.4,7.8,3.6,5.8,105.1/104.4,103.0/102.0,75.5/54.6,27.5,133.5,78.9,174,7.5,64.6/8.1,313,119,100.0/100.0,100.0/100.0,-99,-99
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,4.0,27.7,68.4,2.0,17.8,80.2,13.4,14.5/64.5,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,3.6,75.5/72.2,35.5/5.7,3112.0/41.0,721.4,17.1,7.5,2.6,-99,97.6/97.1,84.8/80.2,47.3/42.5,15.4,179.4,53.4,113,1.1,26.5/3.6,7,47,97.8/92.3,98.6/98.9,5.80,-99
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,1376.7,32.0,19.0,49.0,61.9,8.6,29.5,10.8,62.4/72.4,126,126,5688,14109,-8420,-6339,2.7,25.6,4.3,4.1,67.8/63.0,40.5/4.3,1084.4/2.4,582.4,39.4,5.7,0.2,5.3,108.7/109.3,.../...,.../...,19.4,80.7,45.6,480,7.7,14.3/0.3,750,20,81.6/56.8,31.2/29.7,3.93,-99
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21.0,49.8,7.7,49.7/77.5,108,110,1423,3844,-2421,-721,1.6,35.7,1.6,3.1,74.3/66.4,31.8/7.6,204.4/3.4,8.2,19.6,6.5,1.9,5.5,106.8/107.9,92.8/91.4,53.3/40.8,19.2,132.8,30.2,44,3.4,9.6/1.7,80,27,96.7/86.2,89.1/95.6,12.16,-99
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4.0,17.7,1.5,77.9/77.8,193,186,2066,4513,-2447,-2264,1.3,38.6,4.9,2.9,66.8/63.9,32.9/6.3,22.2/0.3,-99,47.3,1.9,0.2,3.3,109.1/113.5,59.3/64.1,16.5/17.3,27.5,53.1,18.2,209,80.5,2.0/0.3,72,12,85.6/69.4,94.5/56.0,4.03,-99
Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7.0,23.8/70.6,95,95,3402,20409,-17007,-8146,6.0,87.8,3.2,1.7,80.9/77.3,23.1/12.0,1997.8/34.1,1054.2,9.2,6.4,2.4,2.6,88.3/96.6,61.0/61.5,45.7/39.5,3.1,87.1,74.0,87,13.4,24.1/4.3,7,55,99.0/99.0,80.7/80.7,2.04,-99
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,61.0,39.7,20.0,40.3,27.5,59.7/74.6,101,100,648,1727,-1079,-168,1.3,27.3,3.0,3.3,54.7/50.1,35.4/6.7,6.6/0.3,~0.0,59.8,10.6,...,...,104.0/107.0,62.0/45.7,11.7/8.0,25.0,105.5,16.1,18,1.6,2.5/1.2,31,28,94.6/77.0,37.3/27.6,4.11,-99
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43.0,4.1,57.9/64.1,104,121,641,727,-86,-860,2.6,49.7,3.4,4.8,61.6/59.8,41.8/4.9,113.8/2.5,22.1,59.0,10.0,...,2.8,89.1/98.5,32.5/41.9,9.0/14.2,12.3,81.1,5.9,172,43.7,0.9/0.2,73,19,88.6/62.6,28.0/5.9,61.73,-99
Madagascar,EasternAfrica,587295,25571,44.0,99.5,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,83.8/89.0,119,120,2256,2965,-709,-622,2.7,35.1,4.7,4.4,66.0/63.0,41.0/4.8,32.1/0.1,0.1,36.8,3.0,0.1,2.1,148.9/148.9,38.1/38.8,4.6/5.0,19.2,46.0,4.2,1324,21.5,3.1/0.1,129,7,81.6/35.3,18.0/8.7,7.05,-99
Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,3.0,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,81.3/81.0,149,150,875,1649,-774,-710,2.9,16.3,3.8,4.9,63.1/58.2,44.0/4.3,215.2/1.2,25.7,66.5,11.4,...,5.6,147.0/144.0,41.0/45.8,0.6/1.0,16.7,35.3,9.3,176,33.6,1.3/0.1,89,6,95.7/89.1,47.3/39.8,16.53,-99
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,50.5/82.3,154,157,3030,2510,520,-676,2.9,39.9,5.1,6.4,56.9/55.6,47.7/4.0,363.1/2.1,90.8,78.5,7.0,...,3.7,72.1/79.3,36.8/45.6,4.1/9.6,8.8,139.6,10.3,42,3.9,1.4/0.1,55,4,96.5/64.1,37.5/16.1,9.45,-99
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,1235.0,20.9,41.7,37.4,40.3,9.5,50.2,12.0,29.3/65.5,125,125,1623,2174,-551,-1066,2.9,59.9,3.5,4.9,64.1/61.2,39.9/5.0,138.2/3.4,69.0,68.0,3.8,...,2.9,105.0/100.0,29.5/31.7,3.6/7.1,25.2,89.3,15.2,86,0.2,2.7/0.7,31,13,58.4/57.1,57.5/13.8,5.02,-99
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,45.5/79.5,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,78.9/74.0,26.7/10.1,1193.2/0.9,5.9,18.8,6.3,2.1,5.3,103.2/103.6,93.5/87.7,30.0/29.9,42.6,85.3,57.4,1162,34.0,480.3/3.8,8514,62,97.2/92.1,88.0/74.5,0.03,-99
Moldova,EasternEurope,33846,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5.0,39.1/46.5,109,109,2045,4020,-1975,-415,-0.1,45.0,-0.7,1.3,75.2/66.7,15.7/17.6,142.9/3.5,5.5,14.3,10.3,2.5,7.5,91.9/92.9,86.5/85.8,47.4/35.3,22.8,108.0,49.8,35,12.3,4.9/1.2,15,23,96.9/81.4,87.8/67.1,4.49,-99
Mongolia,EasternAsia,1564116,3076,2.0,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51.0,6.3,56.8/69.3,147,149,4917,3358,1559,-948,1.9,72.0,2.8,2.8,72.7/64.5,29.7/6.6,17.6/0.6,~0.0,22.8,4.7,2.9,4.6,100.0/101.8,92.4/90.5,79.7/57.7,17.1,105.0,21.4,41,8.1,20.8/7.2,677,84,66.4/59.2,66.4/42.6,2.21,-99
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21.0,54.4,75.0,4.1,21.0,24.1,82.2/75.6,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,5.4,58.1/54.0,44.8/4.8,222.9/0.8,24.0,67.3,7.0,0.1,6.5,101.2/110.4,31.1/33.8,5.4/7.4,39.6,74.2,9.0,309,48.5,8.4/0.3,779,20,80.6/37.0,42.4/10.1,12.54,-99
Myanmar (Burma),South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,74.7/80.8,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,2.3,68.3/63.7,26.8/9.4,73.3/0.1,1392.1,45.0,2.3,0.6,-99,98.3/101.0,52.0/50.6,14.9/12.1,10.2,76.7,21.8,321,45.3,21.6/0.4,1078,15,92.7/74.4,84.3/77.1,2.23,-99
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,56.4/64.3,88,89,4816,6721,-1905,-1700,2.2,46.7,4.2,3.6,64.3/59.1,36.7/5.5,93.9/3.8,4.8,36.4,-99,...,...,109.5/113.3,.../...,.../...,41.3,102.1,22.3,115,8.5,3.8/1.6,19,31,98.2/84.6,54.5/16.8,1.24,-99
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3.0,79.7/86.7,139,139,703,5249,-4547,2447,1.2,18.6,3.2,2.3,70.4/67.4,30.9/8.8,518.3/1.8,30.7,32.8,5.8,...,3.7,141.2/130.7,72.2/67.1,15.1/14.8,29.6,96.8,17.6,104,25.4,8.0/0.3,451,19,90.9/91.8,56.0/43.5,5.73,-99
Nicaragua,CentralAmerica,130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,49.6/80.6,130,130,2225,5927,-3701,-1045,1.2,58.8,2.0,2.3,77.5/71.4,29.0/8.4,40.3/0.7,0.6,20.0,9.0,0.9,...,.../...,.../...,.../...,45.7,116.1,19.7,144,25.9,4.9/0.8,91,26,99.3/69.4,76.5/55.7,3.68,-99
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,48.5/64.3,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,5.7,52.6/51.2,44.0/4.5,1199.1/0.7,2437.5,76.3,3.7,...,-99,92.8/94.5,53.5/57.8,8.3/11.8,5.6,82.2,47.4,361,8.1,96.3/0.6,10851,32,80.8/57.3,32.8/25.4,0.52,-99
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,24.8/82.5,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,66.8/65.0,34.8/6.7,3629.0/1.9,2739.4,69.8,2.6,0.8,2.6,85.2/99.7,39.2/49.5,9.2/10.6,20.6,66.9,18.0,140,2.0,166.3/0.9,2202,17,93.9/89.9,83.1/51.1,1.32,-99
